incident_id,date,system_affected,attack_type,severity,resolution_time_hours,status,reported_by,region
INC00091,2025-04-25,Firewall,Insider Threat,Medium,42.2,Closed,End User,North America
INC00092,2024-07-16,Cloud Storage,SQL Injection,High,,Closed,SOC Analyst,Africa
INC00093,2024-10-07,Workstation,Ransomware,Critical,26.7,Closed,IT Admin,Africa
INC00094,2025-02-10,Email Server,Malware,Medium,47.2,Closed,End User,South America
INC00095,2025-06-01,IoT Device,Password Attack,Medium,,Open,End User,Asia
INC00096,2024-11-18,Email Server,Ransomware,Medium,,Closed,External Auditor,Asia
INC00097,2024-09-20,User Device,SQL Injection,Low,,Open,Security Manager,Asia
INC00098,2024-12-27,Database,Zero-Day,Low,,Open,IT Admin,Oceania
INC00099,2024-07-08,Cloud Storage,Man-in-the-Middle,High,57.3,Closed,SOC Analyst,Asia
INC00100,2024-09-17,Database,Zero-Day,Medium,,Open,End User,Africa
INC00101,2024-12-05,Application Server,Malware,Medium,35.0,Closed,External Auditor,Africa
INC00102,2025-01-02,IoT Device,Ransomware,Low,46.5,Closed,Security Manager,Oceania
INC00103,2025-01-15,Cloud Storage,Malware,Medium,,Closed,SOC Analyst,Asia
INC00104,2024-10-09,Database,Malware,High,,Open,Security Manager,South America
INC00105,2024-12-11,User Device,Insider Threat,Medium,52.9,Closed,Security Manager,Oceania
INC00106,2025-04-29,VPN Gateway,Privilege Escalation,Medium,68.6,Closed,SOC Analyst,Oceania
INC00107,2024-12-11,Firewall,Zero-Day,High,,Open,End User,North America
INC00108,2024-07-02,Application Server,Man-in-the-Middle,Low,47.1,Closed,SOC Analyst,South America
INC00109,2025-01-28,Firewall,Malware,Low,59.7,Closed,SOC Analyst,Oceania
INC00110,2025-03-02,IoT Device,Phishing,Critical,,Closed,End User,Europe
INC00111,2025-04-15,IoT Device,Ransomware,Medium,,Closed,External Auditor,Europe
INC00112,2024-08-22,Firewall,Ransomware,Medium,12.3,Closed,External Auditor,North America
INC00113,2025-01-28,Email Server,DDoS,Critical,57.9,Closed,SOC Analyst,Oceania
INC00114,2025-06-05,Email Server,Phishing,Critical,57.2,Closed,External Auditor,Asia
INC00115,2025-06-10,Email Server,SQL Injection,Low,,Open,Security Manager,Africa
INC00116,2025-04-21,Database,Zero-Day,Low,,Open,External Auditor,North America
INC00117,2024-10-30,User Device,Ransomware,Low,5.0,Closed,External Auditor,Asia
INC00118,2024-10-27,Web Server,Phishing,Low,61.3,Closed,Security Manager,Oceania
INC00119,2025-04-24,VPN Gateway,Zero-Day,High,,Open,SOC Analyst,Asia
INC00120,2024-08-11,Email Server,Malware,High,,Closed,External Auditor,Oceania
INC00121,2024-08-23,User Device,Password Attack,Low,43.8,Closed,End User,South America
INC00122,2024-10-03,IoT Device,Insider Threat,High,,Closed,SOC Analyst,Oceania
INC00123,2024-07-20,User Device,Ransomware,High,64.2,Closed,Security Manager,Asia
INC00124,2024-10-29,Cloud Storage,Insider Threat,Medium,,Open,End User,Oceania
INC00125,2025-02-08,Application Server,DDoS,High,35.2,Closed,SOC Analyst,North America
INC00126,2025-05-02,Cloud Storage,Malware,Critical,28.1,Closed,IT Admin,Africa
INC00127,2025-05-19,IoT Device,Man-in-the-Middle,Medium,48.9,Closed,Security Manager,Asia
INC00128,2024-07-13,Cloud Storage,Phishing,Medium,44.0,Closed,End User,North America
INC00129,2024-08-27,User Device,Ransomware,High,35.8,Closed,SOC Analyst,Asia
INC00130,2024-09-07,Application Server,Malware,High,42.2,Closed,Security Manager,Africa
INC00131,2024-08-04,IoT Device,Man-in-the-Middle,Low,,Closed,End User,North America
INC00132,2025-03-18,Workstation,SQL Injection,Medium,26.6,Closed,IT Admin,Europe
INC00133,2024-09-02,Cloud Storage,Malware,Medium,,Closed,SOC Analyst,North America
INC00134,2024-09-20,Firewall,Insider Threat,Medium,,Open,End User,Asia
INC00135,2025-01-03,IoT Device,Privilege Escalation,Critical,,Open,SOC Analyst,Europe
INC00136,2025-03-30,IoT Device,Phishing,Medium,21.0,Closed,Security Manager,South America
INC00137,2024-08-12,VPN Gateway,Insider Threat,Critical,54.8,Closed,SOC Analyst,Asia
INC00138,2024-11-10,Database,SQL Injection,High,43.5,Closed,External Auditor,Oceania
INC00139,2025-01-12,Web Server,Ransomware,Medium,44.0,Closed,SOC Analyst,Europe
INC00140,2025-01-15,Firewall,DDoS,High,22.3,Closed,SOC Analyst,North America
INC00141,2024-10-07,Cloud Storage,DDoS,High,,Closed,External Auditor,Oceania
INC00142,2025-02-21,User Device,Man-in-the-Middle,Low,58.4,Closed,SOC Analyst,South America
INC00143,2025-05-28,Cloud Storage,Phishing,Low,7.5,Closed,End User,Africa
INC00144,2024-11-11,IoT Device,Insider Threat,Medium,31.2,Closed,SOC Analyst,South America
INC00145,2025-06-08,Application Server,DDoS,Medium,,Open,End User,North America
INC00146,2024-11-07,Database,Ransomware,Low,30.0,Closed,SOC Analyst,South America
INC00147,2025-01-11,Application Server,Ransomware,High,,Open,External Auditor,Oceania
INC00148,2025-04-21,User Device,Man-in-the-Middle,Low,56.3,Closed,End User,Oceania
INC00149,2024-07-23,Email Server,Ransomware,Low,,Closed,End User,Europe
INC00150,2025-03-22,IoT Device,DDoS,High,,Open,IT Admin,Oceania
INC00151,2024-10-09,VPN Gateway,Privilege Escalation,Low,33.4,Closed,External Auditor,Oceania
INC00152,2024-07-28,IoT Device,Password Attack,Medium,45.9,Closed,IT Admin,South America
INC00153,2025-05-15,VPN Gateway,Zero-Day,High,57.7,Closed,External Auditor,North America
INC00154,2024-12-20,User Device,Malware,Critical,33.6,Closed,SOC Analyst,Asia
INC00155,2025-01-23,Database,Malware,Medium,,Open,Security Manager,Africa
INC00156,2024-09-08,Web Server,Zero-Day,High,42.0,Closed,IT Admin,Asia
INC00157,2024-08-13,VPN Gateway,Man-in-the-Middle,Medium,6.3,Closed,SOC Analyst,Asia
INC00158,2024-06-18,Database,Man-in-the-Middle,Low,4.7,Closed,Security Manager,South America
INC00159,2024-09-23,User Device,Privilege Escalation,Low,28.1,Closed,End User,South America
INC00160,2024-11-21,Application Server,Privilege Escalation,Low,,Open,End User,North America
INC00161,2025-01-01,Database,Man-in-the-Middle,Low,21.9,Closed,External Auditor,Europe
INC00162,2024-12-30,Database,Privilege Escalation,High,66.2,Closed,End User,Oceania
INC00163,2024-06-26,Cloud Storage,DDoS,Critical,67.7,Closed,End User,Africa
INC00164,2024-12-08,Application Server,DDoS,Medium,60.0,Closed,External Auditor,North America
INC00165,2024-07-23,Cloud Storage,Man-in-the-Middle,Medium,27.4,Closed,IT Admin,Europe
INC00166,2024-12-26,VPN Gateway,Ransomware,Low,11.6,Closed,SOC Analyst,Asia
INC00167,2025-04-28,User Device,Man-in-the-Middle,Low,63.9,Closed,SOC Analyst,Oceania
INC00168,2024-12-28,IoT Device,DDoS,Medium,12.8,Closed,IT Admin,Oceania
INC00169,2024-08-03,Email Server,Zero-Day,Low,,Closed,End User,Oceania
INC00170,2025-02-17,VPN Gateway,Privilege Escalation,Critical,54.4,Closed,Security Manager,Europe
INC00171,2024-09-18,Firewall,SQL Injection,High,56.9,Closed,IT Admin,Asia
INC00172,2024-07-06,IoT Device,Zero-Day,Medium,21.7,Closed,Security Manager,Africa
INC00173,2024-09-21,Cloud Storage,DDoS,Medium,58.1,Closed,IT Admin,Asia
INC00174,2025-05-23,VPN Gateway,Password Attack,Low,9.2,Closed,External Auditor,North America
INC00175,2025-01-24,Database,DDoS,Critical,65.4,Closed,IT Admin,South America
INC00176,2025-05-03,Firewall,Zero-Day,Medium,67.1,Closed,Security Manager,North America
INC00177,2024-11-28,User Device,Password Attack,Medium,,Open,End User,Europe
INC00178,2025-06-04,Application Server,Malware,Medium,47.5,Closed,IT Admin,Europe
INC00179,2025-05-30,Workstation,Zero-Day,Medium,,Open,Security Manager,South America
INC00180,2024-08-07,Web Server,Malware,Critical,,Closed,IT Admin,Europe
INC00181,2024-09-11,IoT Device,Man-in-the-Middle,High,56.3,Closed,IT Admin,Asia
INC00182,2025-04-17,Web Server,Ransomware,Medium,57.6,Closed,Security Manager,North America
INC00183,2025-04-23,VPN Gateway,Privilege Escalation,High,,Open,External Auditor,Europe
INC00184,2025-04-06,Workstation,Insider Threat,Critical,,Closed,End User,Europe
INC00185,2024-08-30,Cloud Storage,DDoS,Critical,8.0,Closed,End User,North America
INC00186,2024-09-22,User Device,Man-in-the-Middle,High,37.5,Closed,SOC Analyst,South America
INC00187,2024-10-21,Web Server,Insider Threat,Critical,19.8,Closed,SOC Analyst,Asia
INC00188,2025-05-15,Application Server,Ransomware,Low,,Open,External Auditor,Oceania
INC00189,2024-12-30,Email Server,Phishing,Medium,25.7,Closed,IT Admin,Oceania
INC00190,2024-10-24,VPN Gateway,DDoS,Critical,,Open,Security Manager,North America
INC00191,2025-01-19,Firewall,Phishing,Medium,64.0,Closed,End User,Asia
INC00192,2024-09-28,Cloud Storage,Man-in-the-Middle,Critical,4.6,Closed,IT Admin,Asia
INC00193,2024-12-18,Web Server,Password Attack,High,58.0,Closed,Security Manager,South America
INC00194,2024-11-05,Cloud Storage,Password Attack,Medium,36.7,Closed,Security Manager,Asia
INC00195,2024-09-26,Workstation,Malware,Low,7.5,Closed,External Auditor,Europe
INC00196,2024-09-12,Workstation,Password Attack,High,,Closed,End User,Oceania
INC00197,2025-01-18,Workstation,Zero-Day,Critical,31.8,Closed,Security Manager,Asia
INC00198,2024-11-02,Web Server,Password Attack,High,32.4,Closed,SOC Analyst,North America
INC00199,2024-07-10,Cloud Storage,Password Attack,High,,Open,IT Admin,North America
INC00200,2025-04-06,IoT Device,Zero-Day,Medium,,Open,SOC Analyst,Europe
INC00201,2024-07-23,Application Server,Password Attack,Critical,41.7,Closed,External Auditor,Europe
INC00202,2024-07-06,VPN Gateway,Password Attack,Medium,55.4,Closed,External Auditor,Europe
INC00203,2024-09-20,Application Server,Insider Threat,High,21.5,Closed,SOC Analyst,North America
INC00204,2025-03-15,VPN Gateway,Man-in-the-Middle,Low,41.3,Closed,End User,Asia
INC00205,2024-06-23,VPN Gateway,Ransomware,Medium,22.0,Closed,Security Manager,Europe
INC00206,2025-04-17,Email Server,Malware,Medium,64.9,Closed,Security Manager,North America
INC00207,2024-07-04,Application Server,Password Attack,Medium,40.5,Closed,End User,Asia
INC00208,2025-03-30,Email Server,Password Attack,High,10.5,Closed,IT Admin,Europe
INC00209,2025-02-17,VPN Gateway,Phishing,Low,,Open,Security Manager,Africa
INC00210,2025-04-13,IoT Device,Malware,High,,Closed,Security Manager,Oceania
INC00211,2024-10-16,User Device,Insider Threat,High,,Open,SOC Analyst,Europe
INC00212,2025-01-07,Database,Zero-Day,Low,,Open,IT Admin,Africa
INC00213,2024-07-26,IoT Device,DDoS,Medium,11.0,Closed,External Auditor,North America
INC00214,2025-04-16,User Device,DDoS,Medium,13.3,Closed,IT Admin,Asia
INC00215,2024-09-26,Workstation,Malware,Critical,46.5,Closed,External Auditor,Asia
INC00216,2025-04-15,Workstation,Privilege Escalation,Medium,37.2,Closed,IT Admin,Africa
INC00217,2024-08-25,Email Server,DDoS,Medium,52.4,Closed,External Auditor,Asia
INC00218,2024-09-03,Web Server,Phishing,High,,Closed,External Auditor,Asia
INC00219,2024-07-20,Firewall,Privilege Escalation,Low,46.7,Closed,Security Manager,Oceania
INC00220,2024-09-12,Workstation,SQL Injection,Medium,58.3,Closed,Security Manager,Asia
INC00221,2024-10-29,Database,Phishing,Medium,31.1,Closed,Security Manager,Europe
INC00222,2024-12-26,IoT Device,DDoS,Medium,52.3,Closed,End User,South America
INC00223,2025-04-13,Application Server,Man-in-the-Middle,High,,Open,Security Manager,North America
INC00224,2025-02-02,VPN Gateway,Ransomware,Low,,Open,SOC Analyst,Asia
INC00225,2024-12-04,IoT Device,Insider Threat,Low,,Open,IT Admin,Asia
INC00226,2024-08-27,Application Server,Ransomware,Low,36.9,Closed,External Auditor,South America
INC00227,2024-10-06,Workstation,Zero-Day,Low,,Closed,Security Manager,Africa
INC00228,2024-10-27,Firewall,Ransomware,High,5.4,Closed,End User,South America
INC00229,2024-08-17,VPN Gateway,SQL Injection,High,,Open,Security Manager,Europe
INC00230,2025-02-03,Application Server,Insider Threat,Low,,Open,External Auditor,Africa
INC00231,2025-03-11,Application Server,Man-in-the-Middle,Low,29.0,Closed,Security Manager,Africa
INC00232,2025-01-26,IoT Device,Privilege Escalation,Low,,Open,SOC Analyst,South America
INC00233,2024-12-09,Application Server,Man-in-the-Middle,Low,54.8,Closed,IT Admin,Africa
INC00234,2024-10-01,Cloud Storage,Man-in-the-Middle,Medium,,Closed,SOC Analyst,Europe
INC00235,2024-06-18,Application Server,Zero-Day,Medium,12.4,Closed,External Auditor,Europe
INC00236,2025-01-02,IoT Device,Password Attack,Low,71.3,Closed,End User,Africa
INC00237,2024-12-28,User Device,Man-in-the-Middle,High,,Open,End User,South America
INC00238,2025-06-10,Application Server,Password Attack,High,70.6,Closed,External Auditor,Asia
INC00239,2024-07-01,Web Server,Privilege Escalation,Low,69.7,Closed,External Auditor,Africa
INC00240,2025-02-22,Web Server,Privilege Escalation,High,38.7,Closed,External Auditor,South America
INC00241,2025-04-04,Firewall,Phishing,Low,,Open,IT Admin,North America
INC00242,2024-11-05,Application Server,Insider Threat,Medium,50.3,Closed,Security Manager,Africa
INC00243,2024-08-09,VPN Gateway,Phishing,High,38.3,Closed,External Auditor,Asia
INC00244,2024-07-14,VPN Gateway,Man-in-the-Middle,Medium,69.0,Closed,Security Manager,Africa
INC00245,2024-12-25,User Device,Password Attack,Low,62.7,Closed,End User,Africa
INC00246,2024-10-14,Firewall,Ransomware,High,22.9,Closed,End User,Asia
INC00247,2024-06-23,Firewall,Zero-Day,Medium,26.4,Closed,End User,Asia
INC00248,2025-04-17,IoT Device,Man-in-the-Middle,Low,70.6,Closed,End User,Europe
INC00249,2025-01-21,Web Server,SQL Injection,Medium,,Open,Security Manager,Oceania
INC00250,2025-02-07,VPN Gateway,Ransomware,Medium,39.7,Closed,External Auditor,Oceania
INC00251,2025-01-30,Email Server,Malware,Low,43.1,Closed,IT Admin,North America
INC00252,2024-07-11,User Device,Ransomware,Medium,5.7,Closed,Security Manager,Asia
INC00253,2024-10-20,Database,DDoS,Low,,Closed,External Auditor,Europe
INC00254,2024-11-22,VPN Gateway,Zero-Day,Medium,54.9,Closed,End User,Asia
INC00255,2025-01-23,Web Server,Malware,High,18.3,Closed,SOC Analyst,Europe
INC00256,2024-11-17,Email Server,Phishing,Low,29.8,Closed,Security Manager,Europe
INC00257,2025-01-21,Web Server,Phishing,Medium,44.2,Closed,End User,Asia
INC00258,2024-10-29,User Device,Man-in-the-Middle,Medium,,Open,External Auditor,South America
INC00259,2025-01-30,Firewall,Malware,Medium,53.2,Closed,End User,Oceania
INC00260,2025-03-15,Web Server,Password Attack,High,41.7,Closed,IT Admin,Europe
INC00261,2024-08-10,Cloud Storage,Insider Threat,Medium,8.1,Closed,SOC Analyst,Europe
INC00262,2025-04-08,VPN Gateway,Password Attack,High,,Open,Security Manager,Europe
INC00263,2024-11-02,Workstation,Password Attack,Low,,Open,SOC Analyst,Asia
INC00264,2024-07-19,Application Server,Ransomware,Medium,,Open,SOC Analyst,South America
INC00265,2025-01-12,Email Server,Insider Threat,Low,66.6,Closed,End User,Oceania
INC00266,2025-04-19,Workstation,Password Attack,Low,17.3,Closed,IT Admin,South America
INC00267,2025-04-01,VPN Gateway,Privilege Escalation,Low,51.1,Closed,Security Manager,Africa
INC00268,2024-07-13,Firewall,Ransomware,Medium,43.7,Closed,SOC Analyst,Africa
INC00269,2024-11-02,User Device,Password Attack,Low,,Closed,External Auditor,North America
INC00270,2025-05-18,User Device,Man-in-the-Middle,Critical,39.6,Closed,IT Admin,Asia
INC00271,2024-09-25,VPN Gateway,Malware,High,52.2,Closed,Security Manager,North America
INC00272,2024-09-30,VPN Gateway,Phishing,Low,37.9,Closed,Security Manager,Africa
INC00273,2025-05-20,User Device,Zero-Day,Critical,23.6,Closed,SOC Analyst,South America
INC00274,2025-02-08,Web Server,Ransomware,Medium,5.2,Closed,End User,Oceania
INC00275,2025-05-17,User Device,Phishing,High,,Open,Security Manager,North America
INC00276,2025-01-23,Cloud Storage,DDoS,Medium,55.6,Closed,Security Manager,Asia
INC00277,2024-12-05,VPN Gateway,Insider Threat,Medium,,Open,External Auditor,Europe
INC00278,2024-07-19,Application Server,Malware,Low,39.6,Closed,External Auditor,Europe
INC00279,2025-02-24,Web Server,Phishing,Medium,34.4,Closed,External Auditor,South America
INC00280,2024-09-19,Cloud Storage,Ransomware,Low,26.2,Closed,End User,Europe
INC00281,2025-04-22,Web Server,Insider Threat,Medium,,Open,SOC Analyst,Europe
INC00282,2025-03-05,Database,Malware,Medium,,Open,SOC Analyst,Europe
INC00283,2025-05-27,Cloud Storage,Zero-Day,Low,17.2,Closed,SOC Analyst,Europe
INC00284,2024-10-04,Workstation,Ransomware,Medium,53.2,Closed,End User,Africa
INC00285,2024-08-16,Application Server,Ransomware,Medium,12.0,Closed,External Auditor,Europe
INC00286,2024-11-19,Workstation,SQL Injection,High,,Closed,External Auditor,Oceania
INC00287,2025-03-21,Cloud Storage,Man-in-the-Middle,Medium,70.1,Closed,Security Manager,Africa
INC00288,2025-01-06,Cloud Storage,Insider Threat,Medium,,Closed,Security Manager,Europe
INC00289,2024-09-16,VPN Gateway,Ransomware,High,23.1,Closed,IT Admin,South America
INC00290,2025-05-20,User Device,Insider Threat,Low,41.0,Closed,IT Admin,South America
INC00291,2025-02-14,Workstation,Ransomware,Critical,,Open,Security Manager,Asia
INC00292,2025-05-02,User Device,Ransomware,Low,,Closed,Security Manager,Oceania
INC00293,2024-08-13,IoT Device,Phishing,Medium,15.2,Closed,External Auditor,Oceania
INC00294,2024-07-10,User Device,Ransomware,Low,62.9,Closed,End User,Asia
INC00295,2025-06-11,Firewall,Ransomware,Medium,,Open,Security Manager,Europe
INC00296,2024-06-27,IoT Device,Ransomware,Low,18.8,Closed,End User,Asia
INC00297,2024-12-06,VPN Gateway,Man-in-the-Middle,High,23.6,Closed,End User,Africa
INC00298,2024-10-07,VPN Gateway,Malware,Medium,52.6,Closed,End User,Europe
INC00299,2024-12-11,Application Server,Insider Threat,Medium,,Closed,IT Admin,Oceania
INC00300,2025-04-05,Web Server,SQL Injection,Medium,42.9,Closed,Security Manager,Asia
INC00301,2025-04-01,Firewall,Password Attack,Medium,41.9,Closed,IT Admin,South America
INC00302,2024-09-10,Application Server,SQL Injection,High,36.2,Closed,Security Manager,South America
INC00303,2025-03-24,Application Server,DDoS,Medium,,Closed,External Auditor,South America
INC00304,2025-03-16,User Device,Phishing,Medium,60.7,Closed,SOC Analyst,Oceania
INC00305,2025-05-25,Web Server,Insider Threat,Critical,,Closed,IT Admin,North America
INC00306,2024-06-21,Email Server,Phishing,Low,33.9,Closed,SOC Analyst,Africa
INC00307,2024-07-27,IoT Device,Zero-Day,High,3.1,Closed,External Auditor,Africa
INC00308,2024-11-20,Web Server,Phishing,Low,21.2,Closed,End User,North America
INC00309,2024-10-04,Cloud Storage,DDoS,High,,Closed,SOC Analyst,Africa
INC00310,2025-04-03,Firewall,Ransomware,High,19.7,Closed,End User,Asia
INC00311,2024-11-27,Database,Password Attack,Low,34.1,Closed,IT Admin,Oceania
INC00312,2025-02-23,Workstation,Malware,Medium,62.1,Closed,SOC Analyst,North America
INC00313,2024-11-23,Cloud Storage,Insider Threat,Low,5.9,Closed,SOC Analyst,Oceania
INC00314,2025-03-23,Database,Zero-Day,High,47.1,Closed,End User,Africa
INC00315,2025-05-01,User Device,Phishing,Medium,65.1,Closed,External Auditor,South America
INC00316,2025-01-31,Web Server,Malware,Low,21.6,Closed,External Auditor,Africa
INC00317,2024-07-17,Web Server,DDoS,Low,24.0,Closed,IT Admin,Africa
INC00318,2025-04-06,Cloud Storage,Malware,High,,Open,External Auditor,South America
